timestamp,value_usdc,cash,qty_BTCUSDC,action,entropy,adx,exp_ret
2025-09-02 04:59:00+00:00,1000.0,1000.0,0.0,HOLD,-18532.259992589097,8.138223839966507,6.489640647437136e-05
2025-09-02 05:00:00+00:00,1000.0,1000.0,0.0,HOLD,-18611.089681657482,8.864198220135975,4.5017076527144504e-05
2025-09-02 05:01:00+00:00,1000.0,1000.0,0.0,HOLD,-18654.419391378226,8.619206467862744,4.389277317754997e-06
2025-09-02 05:02:00+00:00,1000.0,1000.0,0.0,HOLD,-18654.419391378226,8.902302126812621,-1.555984222767724e-05
2025-09-02 05:03:00+00:00,1000.0,1000.0,0.0,HOLD,-18654.419391378226,9.026004739358331,-1.553763304983475e-05
2025-09-02 05:04:00+00:00,1000.0,1000.0,0.0,HOLD,-18634.241407072583,9.017762391237158,-6.274659089425652e-05
2025-09-02 05:05:00+00:00,1000.0,1000.0,0.0,HOLD,-18651.428261111138,8.849499415378071,-7.575781648118632e-05
2025-09-02 05:06:00+00:00,1000.0,1000.0,0.0,HOLD,-18765.88108117228,9.477506624679581,-8.652334768512651e-05
2025-09-02 05:07:00+00:00,1000.0,1000.0,0.0,HOLD,-18811.312169983983,10.403132942307908,-8.215749056967454e-05
2025-09-02 05:08:00+00:00,1000.0,1000.0,0.0,HOLD,-18835.292111256953,11.426898829674736,-9.142260151340683e-05
2025-09-02 05:09:00+00:00,1000.0,1000.0,0.0,HOLD,-18861.475959189178,14.638256474010914,-0.00010448278737663516
2025-09-02 05:10:00+00:00,1000.0,1000.0,0.0,HOLD,-18912.485387560733,17.836920876753982,-9.180336168940124e-05
2025-09-02 05:11:00+00:00,1000.0,1000.0,0.0,HOLD,-18909.43812464672,20.352836673841193,-7.870913864645546e-05
2025-09-02 05:12:00+00:00,1000.0,1000.0,0.0,HOLD,-18891.048740278122,22.795376441748967,-2.623671012806981e-05
2025-09-02 05:13:00+00:00,1000.0,1000.0,0.0,HOLD,-18891.048740278122,25.15470666114345,-1.853966786866296e-05
